Make,Model,Engine Size
Audi,A4,"""1.8 TFS (118 HP)"", ""1.8 TFS (158 HP)"", ""2.0 TFS (208 HP)"", ""2.0 TDIe (134 HP)"", ""3.0 TDI (237 HP)"", ""3.2 FSI (261 HP)"","
Audi,A6,"""2.0 TDI (175 HP)"", ""3.0 TDI (201 HP)"", ""3.0 TDI (242 HP)"", ""3.0 TFSi (296 HP)"","
Audi,Q5,"""2.0 TFSi (178 HP)"", ""2.0 TDI (168 HP)"", ""3.0 TDI (237 HP)"", ""3.2 FSI (266 HP)"""
Audi,TT,"""2.0 TFSi (208 HP)"", ""2.0 TFSi (268 HP)"", ""2.0 TDI (168 HP)"", ""2.5 TFSi (335 HP)"""
Volkswagen,Golf,"""1.0 TSI (85 HP)"", ""1.4 TSI (150 HP)"", ""1.6 TDI (115 HP)"", ""2.0 TDI (184 HP)"", ""2.0 TSI (245 HP)"", ""2.0 TSI 4MOTION (310 HP)"""
Volkswagen,Passat,"""1.4 TSI (125 HP)"", ""1.6 TDI (120 HP)"", ""2.0 TDI (150 HP)"", ""2.0 TDI SCR 4MOTION (240 HP)"""
Volkswagen,Tiguan,"""1.4 TSI (125 HP)"", ""2.0 TDI SCR (115 HP)"", ""2.0 TDI SCR (150 HP)"", ""2.0 TDI SCR 4MOTION (240 HP)"""
Volkswagen,Polo,"""1.0 (75 HP)"", ""1.0 TSI (95 HP)"", ""1.6 TDI (80 HP)"", ""1.6 TDI (95 HP)"""
Renault,Fluence,"""1.5 DCI (104 HP)"", ""1.6 DCI (110 HP)"", ""2.0 (110 HP)"", ""2.0 TURBO GT-LINE (120 HP)"""
Renault,Clio,"""1.0 (90 HP)"", ""1.2 16v"", ""1.2 TCE"", ""1.5 DCI (90 HP)"", ""1.6 TCE"""
Renault,Megane,"""1.2 TCE (115 HP)"", ""1.2 TCE (130 HP)"", ""1.5 DCI ECO (130 HP)"", ""1.6 16v (110 HP)"", ""1.6 DCI ECO (130 HP)"", ""1.9 DCI (130 HP)"", ""2.0 16v (140 HP)"", ""2.0 TCE (190 HP)"", ""2.0 DCI (165 HP)"""
Renault,Kadjar,"""1.2 TCE"", ""1.5 DCI (110 HP)"", ""1.6 TCE"", ""1.6 DCI (130 HP)"""
Ford,Fiesta,"""1.0 ECOBOOST (100 HP)"", ""1.25 (82 HP)"", ""1.4 (96 HP)"", ""1.5 TDCI (75 HP)"", ""1.6 TDCI (75 HP)"", ""1.6 TR-VCT (120 HP)"", ""1.6 ST ECOBOOST (182 HP)"""
Ford,Mondeo,"""1.6i 16v (125 HP)"", ""2.0 ECOBOOST (203 HP)"", ""2.0 TDCI (145 HP)"", ""2.3i 16v (160 HP)"""
Ford,Focus,"""1.0 ECOBOOST (100 HP)"", ""1.6 ECOBOOST (182 HP)"", ""1.6 TDCI (115 HP)"", ""2.0 TDCI (140 HP)"
Ford,Kuga,"""1.6 ECOBOOST (182 HP)"", ""2.0 DuraTorq TDCi (140 HP)"", ""2.0 DuraTorq TDCi (163 HP)"", ""2.5 i 20v (200 HP)"""
Toyota,Corolla,"""1.3 (101 HP)"", ""1.4 (97 HP)"", ""1.5 (150 HP)"", ""1.6 (124 HP)"", ""1.8 (140 HP)"", ""2.0 (145 HP)"", ""2.4 XRS (158 HP)"""
Toyota,Yaris,"""1.0 (69 HP)"", ""1.2 (80 HP)"", ""1.3 (95 HP)"", ""1.5 (110 HP)"", ""1.5 (152 HP)"", ""D-4D-F (90 HP)"""
Toyota,Land Cruiser,"""4.0 (243 HP)"", ""4.5 (272 HP)"", ""4.6 (288 HP)"", ""4.7 (318 HP)"", ""5.7 (381 HP)"""
Toyota,Avensis,"""1.6 (132 HP)"", ""1.8 (147 HP)"", ""2.0 (152)"", ""2.2 D-4D-F (150 HP)"", ""2.2 D-CAT (177 HP)"""
BMW,3-Series,"""1.5 318i (136 hp)"", ""1.6 316i (136 HP)"", ""1.6 320i (170 HP)"", ""2.0 320i (184 HP)"", ""2.0 320d (184 HP)"", ""3.0 335i (306 HP)"", ""3.0 335d (313 HP)"", ""3.0 M3 (431 HP)"""
BMW,X5,"""2.0 xDrive 40e (245 HP)"", ""2.0 sDrive 25d (218 HP)"", ""3.0 xDrive 35i (306 HP)"", ""3.0 M50d (381 HP)"", ""4.4 xDrive 50i (450 HP)"", ""4.4 M (575 HP)"""
BMW,Z4,"""2.0 sDrive 20i (184 HP)"", ""2.0 sDrive 28i (245 HP)"", ""2.5 sDrive 23i (204 HP)"", ""3.0 sDrive 30i (258 HP)"", ""3.0 sDrive 35is (335 HP)"""
BMW,1-Series,"""1.5 116i (105 HP)"", ""1.6 114d (95 HP)"", ""1.6 114i (102 HP)"", ""2.0 120i (184 HP)"", ""2.0 125i (224 HP)"", ""3.0 M135i (320 HP)"", ""3.0 M140i (340 HP)"""
